"","Cage 1","Cage 2","Cage 3","Cage 4","Cage 5","Cage 6","Cage 7","Cage 8","Time"
"1",0,0,0,0,0,0,0,0,0.000555555555555556
"2",0,0,0,0,0,0,0,0,0.00111111111111111
"3",0,0,0,0,0,0,0,0,0.00166666666666667
"4",0,0,0,0,0,0,0,0,0.00222222222222222
"5",0,0,0,0,0,0,0,0,0.00277777777777778
"6",0,0,0,0,0,0,0,0,0.00333333333333333
"7",0,0,0,0,0,0,0,0,0.00388888888888889
"8",0,0,0,0,0,0,0,0,0.00444444444444444
"9",0,0,0.00022312,0,0,0,0,0,0.005
"10",0,0,0.0008925,0,0,0,0,0,0.00555555555555556
"11",0,0,0.0015619,0,0,0,0,0,0.00611111111111111
"12",0,0,0.0015619,0,0,0,0,0,0.00666666666666667
"13",0,0,0.0015619,0,0,0,0,0,0.00722222222222222
"14",0,0,0.0015619,0,0,0,0,0,0.00777777777777778
"15",0,0,0.0015619,0,0,0,0,0,0.00833333333333333
"16",0,0,0.0015619,0,0,0,0,0,0.00888888888888889
"17",0,0,0.0015619,0,0,0,0,0,0.00944444444444444
"18",0,0,0.0015619,0,0,0,0,0,0.01
"19",0,0,0.0015619,0,0,0,0,0,0.0105555555555556
"20",0,0,0.0015619,0,0,0,0,0,0.0111111111111111
"21",0,0,0.0015619,0,0,0,0,0,0.0116666666666667
"22",0,0,0.0015619,0,0,0,0,0,0.0122222222222222
"23",0,0,0.0015619,0,0,0,0,0,0.0127777777777778
"24",0,0,0.0015619,0,0,0,0,0,0.0133333333333333
"25",0,0,0.0015619,0,0,0,0,0,0.0138888888888889
"26",0,0,0.0015619,0,0,0,0,0,0.0144444444444444
"27",0,0,0.0015619,0,0,0,0,0,0.015
"28",0,0,0.0015619,0,0,0,0,0,0.0155555555555556
"29",0,0,0.0015619,0,0,0,0,0,0.0161111111111111
"30",0,0,0.0015619,0,0,0,0,0,0.0166666666666667
"31",0,0,0.0015619,0,0,0,0,0,0.0172222222222222
"32",0,0,0.0015619,0,0,0,0,0,0.0177777777777778
"33",0,0,0.0015619,0,0,0,0,0,0.0183333333333333
"34",0,0,0.0015619,0,0,0,0,0,0.0188888888888889
"35",0,0,0.0015619,0,0,0,0,0,0.0194444444444444
"36",0,0,0.0015619,0,0,0,0,0,0.02
"37",0,0,0.0015619,0,0,0,0,0,0.0205555555555556
"38",0,0,0.0015619,0,0,0,0,0,0.0211111111111111
"39",0,0,0.0015619,0,0,0,0,0,0.0216666666666667
"40",0,0,0.0015619,0,0,0,0,0,0.0222222222222222
"41",0,0,0.0015619,0,0,0,0,0,0.0227777777777778
"42",0,0,0.0015619,0,0,0,0,0,0.0233333333333333
"43",0,0,0.0015619,0,0,0,0,0,0.0238888888888889
"44",0,0,0.0015619,0,0,0,0,0,0.0244444444444444
"45",0,0,0.0015619,0,0,0,0,0,0.025
"46",0,0,0.0015619,0,0,0,0,0,0.0255555555555556
"47",0,0,0.0015619,0,0,0,0,0,0.0261111111111111
"48",0,0,0.0015619,0,0,0,0,0,0.0266666666666667
"49",0,0,0.0015619,0,0,0,0,0,0.0272222222222222
"50",0,0,0.0015619,0,0,0,0,0,0.0277777777777778
"51",0,0,0.0015619,0,0,0,0,0,0.0283333333333333
"52",0,0,0.0015619,0,0,0,0,0,0.0288888888888889
"53",0,0,0.0015619,0,0,0,0,0,0.0294444444444444
"54",0,0,0.001785,0,0,0,0,0,0.03
"55",0,0,0.001785,0,0,0,0,0,0.0305555555555556
"56",0,0,0.001785,0,0,0,0,0,0.0311111111111111
"57",0,0,0.001785,0,0,0,0,0,0.0316666666666667
"58",0,0,0.001785,0,0,0,0,0,0.0322222222222222
"59",0,0,0.001785,0,0,0,0,0,0.0327777777777778
"60",0,0,0.001785,0,0,0,0,0,0.0333333333333333
"61",0,0,0.001785,0,0,0,0,0,0.0338888888888889
"62",0,0,0.001785,0,0,0,0,0,0.0344444444444444
"63",0,0,0.001785,0,0,0,0,0,0.035
"64",0,0,0.001785,0,0,0,0,0,0.0355555555555556
"65",0,0,0.001785,0,0,0,0,0,0.0361111111111111
"66",0,0,0.001785,0,0,0,0,0,0.0366666666666667
"67",0,0,0.001785,0,0,0,0,0,0.0372222222222222
"68",0,0,0.001785,0,0,0,0,0,0.0377777777777778
"69",0,0,0.001785,0,0,0,0,0,0.0383333333333333
"70",0,0,0.001785,0,0,0,0,0,0.0388888888888889
"71",0,0,0.001785,0,0,0,0,0,0.0394444444444444
"72",0,0,0.001785,0,0,0,0,0,0.04
"73",0,0,0.001785,0,0,0,0,0,0.0405555555555556
"74",0,0,0.001785,0,0,0,0,0,0.0411111111111111
"75",0,0,0.001785,0,0,0,0,0,0.0416666666666667
"76",0,0,0.001785,0,0,0,0,0,0.0422222222222222
"77",0,0,0.001785,0,0,0,0,0,0.0427777777777778
"78",0,0,0.001785,0,0,0,0,0,0.0433333333333333
"79",0,0,0.001785,0,0,0,0,0,0.0438888888888889
"80",0,0,0.001785,0,0,0,0,0,0.0444444444444444
"81",0,0,0.001785,0,0,0,0,0,0.045
"82",0,0,0.001785,0,0,0,0,0,0.0455555555555556
"83",0,0,0.001785,0,0,0,0,0,0.0461111111111111
"84",0,0,0.001785,0,0,0,0,0,0.0466666666666667
"85",0,0,0.001785,0,0,0,0,0,0.0472222222222222
"86",0,0,0.001785,0,0,0,0.00044625,0,0.0477777777777778
"87",0,0,0.001785,0,0,0,0.00066937,0,0.0483333333333333
"88",0,0,0.001785,0,0,0,0.00066937,0,0.0488888888888889
"89",0,0,0.001785,0,0,0,0.00066937,0,0.0494444444444444
"90",0,0,0.001785,0,0,0,0.0008925,0,0.05
"91",0,0,0.0020081,0,0,0,0.0008925,0,0.0505555555555556
"92",0,0,0.0020081,0,0,0,0.0008925,0,0.0511111111111111
"93",0,0,0.0020081,0,0,0,0.0008925,0,0.0516666666666667
"94",0,0,0.0020081,0,0,0,0.0008925,0,0.0522222222222222
"95",0,0,0.0020081,0,0,0,0.0008925,0,0.0527777777777778
"96",0,0,0.0020081,0,0,0,0.0008925,0,0.0533333333333333
"97",0,0,0.0020081,0,0,0,0.0008925,0,0.0538888888888889
"98",0,0,0.0020081,0,0,0,0.0008925,0,0.0544444444444444
"99",0,0,0.0020081,0,0,0,0.0008925,0,0.055
"100",0,0,0.0020081,0,0,0,0.0008925,0,0.0555555555555556
"101",0,0,0.0020081,0,0,0,0.0008925,0,0.0561111111111111
"102",0,0,0.0020081,0,0,0,0.0008925,0,0.0566666666666667
"103",0,0,0.0020081,0,0,0,0.0008925,0,0.0572222222222222
"104",0,0,0.0020081,0,0,0,0.0008925,0,0.0577777777777778
"105",0,0,0.0020081,0,0,0,0.0008925,0,0.0583333333333333
"106",0,0,0.0020081,0,0,0,0.0008925,0,0.0588888888888889
"107",0,0,0.0020081,0,0,0,0.0008925,0,0.0594444444444444
"108",0,0,0.0020081,0,0,0,0.0008925,0,0.06
"109",0,0,0.0022312,0,0,0,0.0008925,0,0.0605555555555556
"110",0,0,0.0022312,0,0,0,0.0008925,0,0.0611111111111111
"111",0,0,0.0024544,0,0,0,0.0008925,0,0.0616666666666667
"112",0,0,0.0026775,0,0,0,0.0008925,0,0.0622222222222222
"113",0,0,0.0026775,0,0,0,0.0008925,0,0.0627777777777778
"114",0,0,0.0026775,0,0,0,0.0008925,0,0.0633333333333333
"115",0,0,0.0026775,0,0,0,0.0008925,0,0.0638888888888889
"116",0,0,0.0026775,0,0,0,0.0008925,0,0.0644444444444444
"117",0,0,0.0026775,0,0,0,0.0008925,0,0.065
"118",0,0,0.0026775,0,0,0,0.0008925,0,0.0655555555555556
"119",0,0,0.0026775,0,0,0,0.0008925,0,0.0661111111111111
"120",0,0,0.0026775,0,0,0,0.0008925,0,0.0666666666666667
"121",0,0,0.0026775,0,0,0,0.0008925,0.00022312,0.0672222222222222
"122",0,0,0.0026775,0,0,0,0.0008925,0.00022312,0.0677777777777778
"123",0,0,0.0026775,0,0,0,0.0008925,0.00044625,0.0683333333333333
"124",0,0,0.0026775,0,0,0,0.0008925,0.00044625,0.0688888888888889
"125",0,0,0.0026775,0,0,0,0.0008925,0.0008925,0.0694444444444444
"126",0,0,0.0026775,0,0,0,0.0008925,0.0013387,0.07
"127",0,0,0.0026775,0,0,0,0.0008925,0.0013387,0.0705555555555556
"128",0,0,0.0026775,0,0,0,0.0008925,0.0013387,0.0711111111111111
"129",0,0,0.0026775,0,0,0,0.0008925,0.0013387,0.0716666666666667
"130",0,0,0.0026775,0,0,0,0.0008925,0.0013387,0.0722222222222222
"131",0,0,0.0026775,0,0,0,0.0008925,0.001785,0.0727777777777778
"132",0,0,0.0026775,0,0,0,0.0008925,0.0022312,0.0733333333333333
"133",0,0,0.0026775,0,0,0,0.0008925,0.0024544,0.0738888888888889
"134",0,0,0.0026775,0,0,0,0.0008925,0.0024544,0.0744444444444444
"135",0,0,0.0026775,0,0,0,0.0008925,0.0024544,0.075
"136",0,0,0.0026775,0,0,0,0.0008925,0.0024544,0.0755555555555556
"137",0,0,0.0026775,0,0,0,0.0008925,0.0029006,0.0761111111111111
"138",0,0,0.0026775,0,0,0,0.0008925,0.0031237,0.0766666666666667
"139",0,0,0.0026775,0,0,0,0.0008925,0.0033469,0.0772222222222222
"140",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.0777777777777778
"141",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.0783333333333333
"142",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.0788888888888889
"143",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.0794444444444444
"144",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.08
"145",0,0,0.0026775,0,0,0,0.0008925,0.00357,0.0805555555555556
"146",0,0,0.0026775,0,0,0,0.0008925,0.0037931,0.0811111111111111
"147",0,0,0.0026775,0,0,0,0.0008925,0.0037931,0.0816666666666667
"148",0,0,0.0026775,0,0,0,0.0008925,0.0040162,0.0822222222222222
"149",0,0,0.0026775,0,0,0,0.0008925,0.0040162,0.0827777777777778
"150",0,0,0.0026775,0,0,0,0.0008925,0.0040162,0.0833333333333333
"151",0,0,0.0026775,0,0,0,0.0008925,0.0040162,0.0838888888888889
